pff_PLAYID,pff_GAMEID,pff_GAMEDATE,pff_GAMESEASON,pff_WEEK,pff_GSISGAMEKEY,pff_GSISPLAYID,pff_QUARTER,pff_DOWN,pff_CLOCK,pff_BLITZDOG,pff_CATCHABLE,pff_DEEPPASS,pff_DEFSCORE,pff_DRAW,pff_DRIVE,pff_DRIVEPLAY,pff_GAINLOSS,pff_GARBAGETIME,pff_FIRST_DOWN_GAINED,pff_GETOFFTIME,pff_KICKYARDS,pff_NOHUDDLE,pff_NOPLAY,pff_OFFFORMATIONUNBALANCED,pff_OFFSCORE,pff_OPTION,pff_PENALTYYARDS,pff_PLAYACTION,pff_PREVIOUSPFFPLAYID,pff_NEXTPFFPLAYID,pff_RETURNYARDS,pff_SCORE,pff_SCREEN,pff_SNAPTIME,pff_SORTORDER,pff_STUNT,pff_TIMETOPRESSURE,pff_TIMETOTHROW,pff_TRICKLOOK,pff_TRICKPLAY,pff_YARDSAFTERCATCH,pff_YARDSAFTERCONTACT,pff_2MINUTE,pff_3MINUTE,pff_BALLCARRIER,pff_BOXPLAYERS,pff_BUNCHED,pff_CENTERPASSBLOCKDIRECTION,pff_CHECKROUTE,pff_CHIPROUTE,pff_DBDEPTH,pff_DEFFRONT,pff_DEFPERSONNEL,pff_DEFPLAYERS,pff_DEFPLAYERSRATINGS,pff_DEFSUBSTITUTIONS,pff_DEFSUCCESS,pff_DEFTEAM,pff_DISTANCE,pff_DLDROP,pff_DLTECHNIQUES,pff_DOUBLETEAM,pff_DRIVEENDEVENT,pff_DRIVEENDFIELDPOSITION,pff_DRIVEENDPLAYNUMBER,pff_DRIVESTARTEVENT,pff_DRIVESTARTFIELDPOSITION,pff_DROPBACKDEPTH,pff_DROPBACKTYPE,pff_FIELDPOSITION,pff_FIRSTCONTACT,pff_FORCEDFUMBLE,pff_FUMBLE,pff_FUMBLERECOVERY,pff_GAINLOSSNET,pff_GUNNERS,pff_HANGTIME,pff_HASH,pff_HASHDEF,pff_HIT,pff_HURRY,pff_INCOMPLETIONTYPE,pff_INJURED,pff_INTERCEPTION,pff_KEYPLAYERS,pff_KICKCONTACT,pff_KICKDEPTH,pff_KICKDIRACTUAL,pff_KICKDIRINTENDED,pff_KICKER,pff_KICKRESULT,pff_KICKTYPE,pff_KICKWIDTH,pff_KICKZONE,pff_LBDEPTH,pff_MISSEDTACKLE,pff_MOFOCPLAYED,pff_MOFOCSHOWN,pff_NEGATIVEPFFGRADE,pff_OFFFORMATION,pff_OFFFORMATIONGROUP,pff_OFFODDITIES,pff_OFFPERSONNEL,pff_OFFPERSONNELBASIC,pff_OFFPERSONNELSKILL,pff_OFFPLAYERS,pff_OFFPLAYERSRATINGS,pff_OFFSUBSTITUTIONS,pff_OFFSUCCESS,pff_OFFTEAM,pff_ONLOS,pff_OPERATIONTIME,pff_PASSBLOCKING,pff_PASSBREAKUP,pff_PASSCOVERAGE,pff_PASSCOVERAGE1,pff_PASSCOVERAGE2,pff_PASSCOVERAGEPLAYERS,pff_PASSDEPTH,pff_PASSDIRECTION,pff_PASSER,pff_PASSPATTERN,pff_PASSPATTERNBASIC,pff_PASSPATTERNBYPLAYER,pff_PASSRECEIVERPOSITIONTARGET,pff_PASSRECEIVERTARGET,pff_PASSRESULT,pff_PASSROUTETARGET,pff_PASSROUTETARGETGROUP,pff_PASSRUSHPLAYERS,pff_PASSRUSHRESULT,pff_PASSWIDTH,pff_PASSZONE,pff_PENALTY,pff_PISTOL,pff_PLAYACTIONFAKE,pff_PLAYENDFIELDPOSITION,pff_POAACTUAL,pff_POACHANGEREASON,pff_POAINTENDED,pff_POSITIVEPFFGRADE,pff_PRESS,pff_PRESSUREDETAIL,pff_PUMPFAKE,pff_PUNTRUSH,pff_PURSUIT,pff_QB,pff_QBMOVEDOFFSPOT,pff_QBPRESSURE,pff_QBPRESSUREALLOWED,pff_QBRESET,pff_QBSCRAMBLE,pff_RBALIGNMENT,pff_RBDEPTH,pff_RBDIRECTION,pff_RBSINBACKFIELD,pff_RETDIRECTIONINTENDED,pff_RETURNDIRECTION,pff_RETURNER,pff_RUNCONCEPTPRIMARY,pff_RUNCONCEPTSECONDARY,pff_RUNPASS,pff_SACK,pff_SCOREDIFFERENTIAL,pff_SHIFTMOTION,pff_SHOTGUN,pff_SPECIALTEAMSTYPE,pff_STOP,pff_STSAFETIES,pff_TACKLE,pff_TACKLEASSIST,pff_TEALIGNMENT,pff_TOUCHDOWN,pff_UNBLOCKEDPRESSURE,pff_VISE,pff_WRALIGNMENT,pff_CONTESTED,pff_RUNPASSOPTION,pff_PLAYCLOCK,pff_HAIL_MARY,pff_BUSTED_COVERAGE,pff_TURNOVER,pff_NON_TACKLE_TYPE,pff_TEMPO,pff_DEF_TIMEOUTS_REMAINING,pff_OFF_TIMEOUTS_REMAINING,pff_EXPECTED_POINTS,pff_EXPECTED_POINTS_ADDED,pff_ROUTE_THROWN,pff_SIDELINE_CHECK,pff_OFF_PERSONNEL_GROUP,pff_RBS_ON_FIELD,pff_TES_ON_FIELD,pff_WRS_ON_FIELD,pff_BACKSET,pff_OFFENSIVE_FORMATION_NAME,pff_STARTING_OFFENSIVE_FORMATION,pff_STARTING_OFFENSIVE_FORMATION_GROUP,pff_STARTING_OFFENSIVE_FORMATION_NAME,pff_DEF_PACKAGE,pff_DBS_ON_FIELD,pff_LBS_ON_FIELD,pff_DLS_ON_FIELD,pff_DEFENSIVE_FRONT_NAME,pff_MUG_LOOK,pff_PASS_COVERAGE_BASIC,pff_KICKOFF_RETURN_CONCEPT,pff_YARDS_TO_GOAL_LINE,pff_FGOPTIME,pff_EXPECTED_POINTS_LEGACY,pff_EXPECTED_POINTS_ADDED_LEGACY,pff_TEAMWORKS_PLAY_ID,pff_DRIVEID
7118255,31155,2026-09-12,2026,02,411487,1886,2,0,05:26,0,,0,21,0,,,75,0,,,75,0,0,0,7,0,,0,7118117,7118319,,21.07,0,,71,0,,,0,0,,,0,0,,,,,,,,5-5,,FLAT D03 (R4); FLAT D08 (L1); FLAT D16 (L5); FLAT D17 (L3); FLAT D21 (R3); FLAT D23 (R1); FLAT D28 (L4); FLAT D31 (L2); FLAT D36 (R2); FLAT D43 (R5); FLAT S41 (PK),FLAT D03 (0.0); FLAT D08 (0.0); FLAT D16 (0.0); FLAT D17 (0.0); FLAT D21 (0.0); FLAT D23 (0.0); FLAT D28 (0.0); FLAT D31 (0.0); FLAT D36 (0.0); FLAT D43 (0.0); FLAT S41 (+0.5),,,FLAT,0,,,,,,,,,,,-35,,,,,40,,4.38,L,R,,,,,,FLAT S41 (PK),DEZ,75,L,L,FLAT S41,TOUCHBACK,D,15,3L,,,,,,,6-0-3,,,,,MDNA 25 (KR-R); MDNA 26 (KFB-L); MDNA 42 (RB); MDNA 43 (LB); MDNA 82 (LF3); MDNA D05 (RF3); MDNA D28 (LF1); MDNA D32 (RF1); MDNA D35 (LF2); MDNA D47 (RF2); MDNA D96 (MB),MDNA 25 (0.0); MDNA 26 (0.0); MDNA 42 (0.0); MDNA 43 (0.0); MDNA 82 (0.0); MDNA D05 (0.0); MDNA D28 (0.0); MDNA D32 (0.0); MDNA D35 (0.0); MDNA D47 (0.0); MDNA D96 (0.0),,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLAT S41,,,0,,,,0,,,0,,,,,,,,MDNA 25,,,,,-14,,,KICKOFF,,2; FLAT D08 (L1); FLAT D23 (R1),,,,,,,,,0,,0,0,0,,false,2,3,-1.2,0.989,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31155_7118255,
7119581,31155,2026-09-12,2026,02,411487,2360,2,0,00:19,0,,0,28,0,,,74,0,,,74,0,0,0,7,0,,0,7119516,7119669,,28.07,0,,89,0,,,0,0,,,0,0,,,,,,,,5-5,,FLAT D03 (R4); FLAT D07 (L4); FLAT D08 (L1); FLAT D16 (L5); FLAT D17 (L3); FLAT D21 (R3); FLAT D23 (R1); FLAT D31 (L2); FLAT D36 (R2); FLAT D43 (R5); FLAT S41 (PK),FLAT D03 (0.0); FLAT D07 (0.0); FLAT D08 (0.0); FLAT D16 (0.0); FLAT D17 (0.0); FLAT D21 (0.0); FLAT D23 (0.0); FLAT D31 (0.0); FLAT D36 (0.0); FLAT D43 (0.0); FLAT S41 (+0.5),,,FLAT,0,,,MDNA D05 (RF3); MDNA D32 (RF1); FLAT D07 (L4),,,,,,,,-35,,,,,40,,4.49,L,R,,,,,,FLAT S41 (PK),DEZ,73,L,L,FLAT S41,TOUCHBACK,D,10,3L,,,,,,,6-0-3,,,,,MDNA 25 (KR-R); MDNA 26 (KFB-L); MDNA 42 (RB); MDNA 43 (LB); MDNA 82 (LF3); MDNA D05 (RF3); MDNA D28 (LF1); MDNA D32 (RF1); MDNA D35 (LF2); MDNA D47 (RF2); MDNA D96 (MB),MDNA 25 (0.0); MDNA 26 (0.0); MDNA 42 (0.0); MDNA 43 (0.0); MDNA 82 (0.0); MDNA D05 (0.0); MDNA D28 (0.0); MDNA D32 (0.0); MDNA D35 (0.0); MDNA D47 (0.0); MDNA D96 (0.0),,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLAT S41,,,0,,,,0,,,0,,,,,,,,MDNA 25,,,,,-21,,,KICKOFF,,2; FLAT D08 (L1); FLAT D23 (R1),,,,,,,,,0,,0,0,0,,false,1,2,-1.2,1.087,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31155_7119581,
7121829,31155,2026-09-12,2026,02,411487,2494,3,0,15:00,0,,0,31,0,,,75,0,,,75,0,0,0,7,0,,0,7119879,7121902,,31.07,0,,94,0,,,0,0,,,0,0,,,,,,,,5-5,,FLAT D03 (R4); FLAT D07 (L4); FLAT D16 (L5); FLAT D17 (L3); FLAT D20 (L1); FLAT D21 (R3); FLAT D23 (R1); FLAT D31 (L2); FLAT D36 (R2); FLAT D43 (R5); FLAT S41 (PK),FLAT D03 (0.0); FLAT D07 (0.0); FLAT D16 (0.0); FLAT D17 (0.0); FLAT D20 (0.0); FLAT D21 (0.0); FLAT D23 (0.0); FLAT D31 (0.0); FLAT D36 (0.0); FLAT D43 (0.0); FLAT S41 (+0.5),,,FLAT,0,,,MDNA D05 (RF3); MDNA D32 (RF1); FLAT D07 (L4),,,,,,,,-35,,,,,40,,4.39,L,R,,,,,,FLAT S41 (PK),DEZ,75,L,L,FLAT S41,TOUCHBACK,D,11,3L,,,,,,,6-0-3,,,,,MDNA 25 (KR-R); MDNA 26 (KFB-L); MDNA 42 (RB); MDNA 43 (LB); MDNA 82 (LF3); MDNA D05 (RF3); MDNA D28 (LF1); MDNA D32 (RF1); MDNA D35 (LF2); MDNA D47 (RF2); MDNA D96 (MB),MDNA 25 (0.0); MDNA 26 (0.0); MDNA 42 (0.0); MDNA 43 (0.0); MDNA 82 (0.0); MDNA D05 (0.0); MDNA D28 (0.0); MDNA D32 (0.0); MDNA D35 (0.0); MDNA D47 (0.0); MDNA D96 (0.0),,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLAT S41,,,0,,,,0,,,0,,,,,,,,MDNA 25,,,,,-24,,,KICKOFF,,2; FLAT D20 (L1); FLAT D23 (R1),,,,,,,,,0,,0,0,0,,false,3,3,-1.2,1.439,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31155_7121829,
7124095,31155,2026-09-12,2026,02,411487,3277,3,0,02:39,0,,0,38,0,,,72,0,,,72,0,0,0,7,0,,0,7123873,7124180,,38.07,0,,124,0,,,0,0,,,0,0,,,,,,,,5-5,,FLAT D03 (R4); FLAT D16 (L5); FLAT D17 (L3); FLAT D20 (L1); FLAT D21 (R3); FLAT D23 (R1); FLAT D28 (L4); FLAT D31 (L2); FLAT D36 (R2); FLAT D43 (R5); FLAT S41 (PK),FLAT D03 (0.0); FLAT D16 (0.0); FLAT D17 (0.0); FLAT D20 (0.0); FLAT D21 (0.0); FLAT D23 (0.0); FLAT D28 (0.0); FLAT D31 (0.0); FLAT D36 (0.0); FLAT D43 (0.0); FLAT S41 (+0.5),,,FLAT,0,,,MDNA D05 (RF3); MDNA D32 (RF1); FLAT D28 (L4),,,,,,,,-35,,,,,40,,4.54,L,R,,,,,,FLAT S41 (PK),DEZ,72,L,L,FLAT S41,TOUCHBACK,D,12,3L,,,,,,,6-0-3,,,,,MDNA 25 (KR-R); MDNA 26 (KFB-L); MDNA 42 (RB); MDNA 43 (LB); MDNA 82 (LF3); MDNA D05 (RF3); MDNA D28 (LF1); MDNA D32 (RF1); MDNA D35 (LF2); MDNA D47 (RF2); MDNA D96 (MB),MDNA 25 (0.0); MDNA 26 (0.0); MDNA 42 (0.0); MDNA 43 (0.0); MDNA 82 (0.0); MDNA D05 (0.0); MDNA D28 (0.0); MDNA D32 (0.0); MDNA D35 (0.0); MDNA D47 (0.0); MDNA D96 (0.0),,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLAT S41,,,0,,,,0,,,0,,,,,,,,MDNA 25,,,,,-31,,,KICKOFF,,2; FLAT D20 (L1); FLAT D23 (R1),,,,,,,,,0,17,0,0,0,,false,3,3,-1.2,1.425,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31155_7124095,
7125191,31155,2026-09-12,2026,02,411487,3798,4,4,11:24,0,,0,14,0,,,35,0,,1.30,35,0,0,0,38,0,,0,7125174,7125325,,38.14,0,0.87,143,0,,,0,0,,,0,0,,8; MDNA D08; MDNA D14; MDNA D52; MDNA D53; MDNA D58; MDNA D90; MDNA D97; MDNA D99,,,,,,4-4,,MDNA 23 (PR); MDNA D04 (VL); MDNA D08 (PLL1); MDNA D13 (VR); MDNA D14 (PLR1); MDNA D52 (PDL1); MDNA D53 (PLL2); MDNA D58 (PLR2); MDNA D90 (PDR1); MDNA D97 (PDL2); MDNA D99 (PDR2),MDNA 23 (0.0); MDNA D04 (0.0); MDNA D08 (0.0); MDNA D13 (0.0); MDNA D14 (0.0); MDNA D52 (0.0); MDNA D53 (0.0); MDNA D58 (0.0); MDNA D90 (0.0); MDNA D97 (0.0); MDNA D99 (0.0),,,MDNA,8,,,,,,,,,,,+50,,,,,35,FLAT D03 (GLa); FLAT D16 (GRx),3.40,C,C,,,,,,FLAT S45 (PLS); FLAT S91 (P),BB,35,L,L,FLAT S91,OUT OF BOUNDS,A,5,2L,,,,,FLAT S45,,,,,,,FLAT 72 (PPLi); FLAT D03 (GL); FLAT D11 (PPR); FLAT D16 (GR); FLAT D21 (PLT); FLAT D28 (PRT); FLAT D35 (PLG); FLAT D43 (PRG); FLAT D95 (PPLo); FLAT S45 (PLS); FLAT S91 (P),FLAT 72 (0.0); FLAT D03 (0.0); FLAT D11 (0.0); FLAT D16 (0.0); FLAT D21 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D43 (0.0); FLAT D95 (0.0); FLAT S45 (-0.5); FLAT S91 (0.0),,,FLAT,FLAT D03; FLAT D16; FLAT D21; FLAT D28; FLAT D35; FLAT D43; FLAT S45,2.17,,,,,,,,,,,,,,,,,,,,,,,,,+15,,,,,,,0,,,,0,,,0,,R,,,,,,MDNA 23,,,,,+24,,,PUNT,,,,,,,,MDNA D04 (VL); MDNA D13 (VR),,,0,,0,0,0,,false,3,3,0.198,0.017,,false,,,,,,,,,,,,,,,,,,50,,0.185,0.44,31155_7125191,
7126294,31155,2026-09-12,2026,02,411487,4410,4,0,03:12,0,,0,38,0,,,46,0,,,46,0,0,0,22,0,,0,7126252,7126329,16,38.22,0,,166,0,,,0,0,,2,0,0,MDNA 26,,,,,,,5-5,,FLAT D03 (R5); FLAT D07 (L4); FLAT D16 (L5); FLAT D17 (L3); FLAT D20 (L1); FLAT D21 (R2); FLAT D23 (R4); FLAT D31 (L2); FLAT D36 (R1); FLAT D43 (R3); FLAT S41 (PK),FLAT D03 (0.0); FLAT D07 (0.0); FLAT D16 (0.0); FLAT D17 (0.0); FLAT D20 (0.0); FLAT D21 (+0.5); FLAT D23 (0.0); FLAT D31 (0.0); FLAT D36 (0.0); FLAT D43 (0.0); FLAT S41 (0.0),,,FLAT,0,,,MDNA D32 (RF1); MDNA D47 (RF2); FLAT D07 (L4),,,,,,,,-20,,,,,30,,4.25,C,C,,,,,,FLAT D21 (R2),CC,55,R,R,FLAT S41,RETURNED,K,50,6R,,,,,,,6-0-3,,,,,MDNA 25 (KR-R); MDNA 26 (KFB-L); MDNA 42 (RB); MDNA 43 (LB); MDNA 82 (LF3); MDNA D05 (RF3); MDNA D28 (LF1); MDNA D32 (RF1); MDNA D35 (LF2); MDNA D47 (RF2); MDNA D56 (MB),MDNA 25 (0.0); MDNA 26 (0.0); MDNA 42 (0.0); MDNA 43 (0.0); MDNA 82 (0.0); MDNA D05 (0.0); MDNA D28 (0.0); MDNA D32 (0.0); MDNA D35 (0.0); MDNA D47 (0.0); MDNA D56 (0.0),,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,+50,,,,FLAT D21,,,0,,,,0,,,0,,,,,,,,MDNA 25,,,,,-16,,,KICKOFF,,3; FLAT D17 (L3); FLAT D20 (L1); FLAT D23 (R4),FLAT D21,,,,,,,,0,,0,0,0,,false,3,3,-1.2,-0.188,,false,,,,,,,,,,,,,,,,,,80,,0.0,-1.762,31155_7126294,
7156921,31243,2026-09-19,2026,03,411566,,1,4,13:25,0,,0,0,0,,,56,0,,1.29,56,0,0,0,0,0,11,0,7156838,7157043,3,0.00,0,0.86,7,0,,,0,0,,3,0,0,FLIN 02,,,,,,,,,,,,,FLIN,19,,,,,,,,,,,-25,,,,,64,,4.51,R,L,,,,,,,CC,56,R,R,FLAT S91,RETURNED,N,38,5R,,FLAT D53,,,FLAT D53; FLIN D20,,,,,,,,,,,FLAT,,2.15,,,,,,,,,,,,,,,,,,,,,,FLIN D20 IBW,,,+11,,,,FLAT 50; FLAT D55; FLAT S91,,,0,,,,0,,,0,,EMPTY,,,,,,FLIN 02,,,,,0,,,PUNT,,,FLAT D55,FLAT 50,,,,,,,0,,0,0,0,,false,3,3,-1.502,2.173,,false,,,,,,,,,,,,,,,,,,75,,-1.334,2.318,31243_7156921,
7158637,31243,2026-09-19,2026,03,411566,,1,0,02:12,0,,0,7,0,,,75,0,,,75,0,0,0,0,0,,0,7158475,7158683,,7.00,0,,35,0,,,0,0,,,0,0,,,,,,,,,,,,,,FLAT,0,,,,,,,,,,,-35,,,,,40,,3.92,L,R,,,,,,,DEZ,75,L,L,FLAT S41,TOUCHBACK,D,8,2L,,,,,,,0-0-0,,,,,,,,,FLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLAT S41,,,0,,,,0,,,0,,,,,,,,,,,,,-7,,,KICKOFF,,,,,,,,,,,0,,0,0,0,,false,3,3,-1.2,1.414,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31243_7158637,
7159283,31243,2026-09-19,2026,03,411566,,2,0,14:27,0,,0,10,0,,,74,0,,,74,0,0,0,0,0,,0,7159154,7159338,,10.00,0,,46,0,,,0,0,,,0,0,,,,,,,,,,,,,,FLAT,0,,,,,,,,,,,-35,,,,,40,,4.22,L,R,,,,,,,DEZ,74,L,L,FLAT S41,TOUCHBACK,D,13,3L,,,,,,,0-0-0,,,,,,,,,FLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLAT S41,,,0,,,,0,,,0,,,,,,,,,,,,,-10,,,KICKOFF,,,,,,,,,,,0,,0,0,0,,false,3,3,-1.2,1.381,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31243_7159283,
7163453,31243,2026-09-19,2026,03,411566,,3,0,15:00,0,,0,10,0,,,61,0,,,61,0,0,0,7,0,,0,7162071,7163466,17,10.07,0,,86,0,,,0,0,,4,0,0,FLIN 18,,,,,,,,,,,,,FLAT,0,,,,,,,,,,,-35,,,,,44,,4.10,L,R,,,,,,,CC,61,L,L,FLAT S41,RETURNED,D,11,3L,,,,,,,0-0-0,,,,,,,,,FLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,+21,,,,FLAT D43,,,0,,,,0,,,0,,,,,,R,R,FLIN 18,,,,,-3,,,KICKOFF,,,FLAT D43,,,,,,,,0,,0,0,0,,false,3,3,-1.2,1.456,,false,,,,,,,,,,,,,,,,,,65,,0.0,0.08,31243_7163453,
7164568,31243,2026-09-19,2026,03,411566,,3,0,07:34,0,,0,13,0,,,75,0,,,75,0,0,0,7,0,,0,7164233,7164668,,13.07,0,,108,0,,,0,0,,,0,0,,,,,,,,,,,,,,FLAT,0,,,,,,,,,,,-35,,,,,40,,4.40,L,R,,,,,,,DEZ,75,L,L,FLAT S41,TOUCHBACK,D,8,2L,,,,,,,0-0-0,,,,,,,,,FLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLAT S41,,,0,,,,0,,,0,,,,,,,,,,,,,-6,,,KICKOFF,,,,,,,,,,,0,,0,0,0,,false,3,3,-1.2,1.461,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31243_7164568,
7165984,31243,2026-09-19,2026,03,411566,,3,0,02:53,0,,0,16,0,,,75,0,,,75,0,0,0,7,0,,0,7165779,7166059,,16.07,0,,123,0,,,0,0,,,0,0,,,,,,,,,,,,,,FLAT,0,,,,,,,,,,,-35,,,,,40,,4.31,L,R,,,,,,,DEZ,75,L,L,FLAT S41,TOUCHBACK,D,14,3L,,,,,,,0-0-0,,,,,,,,,FLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLAT S41,,,0,,,,0,,,0,,,,,,,,,,,,,-9,,,KICKOFF,,,,,,,,,,,0,,0,0,0,,false,3,3,-1.2,1.439,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31243_7165984,
7167540,31243,2026-09-19,2026,03,411566,,4,4,10:09,0,,0,10,0,,,50,0,,1.17,50,0,0,0,16,0,,0,7167469,7167755,,16.10,0,0.68,145,0,,,0,0,,,0,0,,,,,,,,,,,,,,FLIN,17,,,,,,,,,,,-26,,,,,50,,4.22,C,C,,,,,,,BF,50,L,L,FLAT S91,OUT OF BOUNDS,N,2,2L,,,,,,,,,,,,,,,,FLAT,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,+24,,,,FLAT S91,,,0,,,,0,,,0,,EMPTY,,,,,,,,,,,+6,,,PUNT,,,,,,,,,,,0,,0,0,0,,false,3,3,-1.246,1.205,,false,,,,,,,,,,,,,,,,,,74,,-1.276,1.082,31243_7167540,
7168642,31243,2026-09-19,2026,03,411566,,4,4,04:09,0,,0,10,0,,,44,0,,1.21,44,0,0,0,16,0,-5,0,7168510,7168650,6,16.10,0,0.72,159,0,,,0,0,,2,0,0,FLIN 02,,,,,,,,,,,,,FLIN,3,,,,,,,,,,,-16,,,,,38,,3.25,C,C,,,,,,,CC,44,L,L,FLAT S91,RETURNED,N,15,3L,,,,,FLAT S91,,,,,,,,,,,FLAT,,1.93,,,,,,,,,,,,,,,,,,,,,,ILF,,,+46,,,,FLAT D16,,,0,,,,0,,,0,,EMPTY,,,,R,R,FLIN 02,,,,,+6,,,PUNT,,,FLAT D16,,,,,,,,0,,0,0,0,,false,3,2,-1.825,-0.283,,false,,,,,,,,,,,,,,,,,,84,,-1.839,-0.611,31243_7168642,
7169378,31243,2026-09-19,2026,03,411566,,4,4,02:00,0,,0,10,0,,,43,0,,1.19,43,0,0,0,16,0,,0,7169084,7169451,,16.10,0,0.78,167,0,,,0,0,,,0,0,,,,,,,,,,,,,,FLIN,6,,,,,,,,,,,+44,,,,,43,,4.27,R,L,,,,,,,BB,43,C,C,FLAT S91,DOWNED,A,30,4,,,,,FLAT S91,,,,,,,,,,,FLAT,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,0,,,,0,,,0,,EMPTY,,,,,,,,,,,+6,,,PUNT,,,,,,,,,,,0,,0,0,0,,false,1,2,0.13,-0.129,,false,,,,,,,,,,,,,,,,,,44,,0.556,1.284,31243_7169378,
